tecnica;mean_absolute_error;mean_squared_error;mean_squared_log_error;median_absolute_error;identificador_aleatorio;tipo_split;normalizador;redutor_dimensionalidade;pipeline;parametros;random_state_split;random_state_random_search;cross_validation_random_search;best_estimator;best_params
BaggingRegressor;0.5294117647058824;0.7554179566563467;0.017333375363336602;0.0;6604990;train_test_split 25%;standard_scaler;pca;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('BaggingRegressor', BaggingRegressor(base_estimator=None, bootstrap=True, bootstrap_features=False,
                 max_features=1.0, max_samples=1.0, n_estimators=10,
                 n_jobs=None, oob_score=False, random_state=None, verbose=0,
                 warm_start=False))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'BaggingRegressor__n_estimators': [5, 10, 15], 'BaggingRegressor__bootstrap': [True, False], 'BaggingRegressor__warm_start': [True, False]};8;3;5;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=True, with_std=True)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=9,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=True)),
                ('BaggingRegressor',
                 BaggingRegressor(base_estimator=None, bootstrap=False,
                                  bootstrap_features=False, max_features=1.0,
                                  max_samples=1.0, n_estimators=15, n_jobs=None,
                                  oob_score=False, random_state=None, verbose=0,
                                  warm_start=False))],
         verbose=False)";{'standard_scaler__with_std': True, 'standard_scaler__with_mean': True, 'pca__whiten': True, 'pca__svd_solver': 'full', 'pca__n_components': 9, 'BaggingRegressor__warm_start': False, 'BaggingRegressor__n_estimators': 15, 'BaggingRegressor__bootstrap': False}
GradientBoostingRegressor;0.4767801857585139;0.5882352941176471;0.01344340406695179;0.0;9632861;train_test_split 25%;standard_scaler;pca;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('GradientBoostingRegressor', GradientBoostingRegressor(alpha=0.9, criterion='friedman_mse', init=None,
                          learning_rate=0.1, loss='ls', max_depth=3,
                          max_features=None, max_leaf_nodes=None,
                          min_impurity_decrease=0.0, min_impurity_split=None,
                          min_samples_leaf=1, min_samples_split=2,
                          min_weight_fraction_leaf=0.0, n_estimators=100,
                          n_iter_no_change=None, presort='auto',
                          random_state=None, subsample=1.0, tol=0.0001,
                          validation_fraction=0.1, verbose=0, warm_start=False))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'GradientBoostingRegressor__loss': ('ls', 'lad', 'huber', 'quantile'), 'GradientBoostingRegressor__criterion': ('friedman_mse', 'mse', 'mae'), 'GradientBoostingRegressor__max_features': ('auto', 'sqrt', 'log2'), 'GradientBoostingRegressor__n_estimators': [50, 100, 150], 'GradientBoostingRegressor__warm_start': [True, False]};8;16;6;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=True, with_std=False)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=None,
                     random_state=None, svd_solver='auto', tol=0.0,
                     whiten=False)),
                ('GradientBoostingRegressor',
                 GradientBoostingRegressor(alpha=0.9, criterion='friedman_mse',
                                           init=None, learning_rate=0.1,
                                           loss='ls', max_depth=3,
                                           max_features='auto',
                                           max_leaf_nodes=None,
                                           min_impurity_decrease=0.0,
                                           min_impurity_split=None,
                                           min_samples_leaf=1,
                                           min_samples_split=2,
                                           min_weight_fraction_leaf=0.0,
                                           n_estimators=150,
                                           n_iter_no_change=None,
                                           presort='auto', random_state=None,
                                           subsample=1.0, tol=0.0001,
                                           validation_fraction=0.1, verbose=0,
                                           warm_start=True))],
         verbose=False)";{'standard_scaler__with_std': False, 'standard_scaler__with_mean': True, 'pca__whiten': False, 'pca__svd_solver': 'auto', 'pca__n_components': None, 'GradientBoostingRegressor__warm_start': True, 'GradientBoostingRegressor__n_estimators': 150, 'GradientBoostingRegressor__max_features': 'auto', 'GradientBoostingRegressor__loss': 'ls', 'GradientBoostingRegressor__criterion': 'friedman_mse'}
AdaBoostRegressor;0.5727554179566563;0.7105263157894737;0.016088257535748017;1.0;8981021;train_test_split 25%;standard_scaler;pca;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('AdaBoostRegressor', AdaBoostRegressor(base_estimator=None, learning_rate=1.0, loss='linear',
                  n_estimators=50, random_state=None))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'AdaBoostRegressor__loss': ('linear', 'square', 'exponential'), 'AdaBoostRegressor__n_estimators': [25, 50, 75]};8;31;7;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=True, with_std=True)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=None,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=True)),
                ('AdaBoostRegressor',
                 AdaBoostRegressor(base_estimator=None, learning_rate=1.0,
                                   loss='linear', n_estimators=25,
                                   random_state=None))],
         verbose=False)";{'standard_scaler__with_std': True, 'standard_scaler__with_mean': True, 'pca__whiten': True, 'pca__svd_solver': 'randomized', 'pca__n_components': None, 'AdaBoostRegressor__n_estimators': 25, 'AdaBoostRegressor__loss': 'linear'}
HuberRegressor;0.5247678018575851;0.6718266253869969;0.01512784512616535;0.0;2612618;train_test_split 25%;standard_scaler;pca;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('HuberRegressor', HuberRegressor(alpha=0.0001, epsilon=1.35, fit_intercept=True, max_iter=100,
               tol=1e-05, warm_start=False))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'HuberRegressor__max_iter': [50, 100, 150], 'HuberRegressor__warm_start': [True, False]};8;33;4;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=True, with_std=True)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=None,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=True)),
                ('HuberRegressor',
                 HuberRegressor(alpha=0.0001, epsilon=1.35, fit_intercept=True,
                                max_iter=150, tol=1e-05, warm_start=False))],
         verbose=False)";{'standard_scaler__with_std': True, 'standard_scaler__with_mean': True, 'pca__whiten': True, 'pca__svd_solver': 'full', 'pca__n_components': None, 'HuberRegressor__warm_start': False, 'HuberRegressor__max_iter': 150}
LinearRegression;0.5735294117647058;0.7484520123839009;0.016938066497021276;0.0;8039479;train_test_split 25%;standard_scaler;pca;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('LinearRegression', LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'LinearRegression__fit_intercept': [True, False], 'LinearRegression__normalize': [True, False]};8;31;5;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=True, with_std=True)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=9,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=False)),
                ('LinearRegression',
                 LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
                                  normalize=False))],
         verbose=False)";{'standard_scaler__with_std': True, 'standard_scaler__with_mean': True, 'pca__whiten': False, 'pca__svd_solver': 'full', 'pca__n_components': 9, 'LinearRegression__normalize': False, 'LinearRegression__fit_intercept': True}
PassiveAggressiveRegressor;0.8343653250773994;1.3436532507739938;0.029956529859709;1.0;7234893;train_test_split 25%;standard_scaler;pca;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('PassiveAggressiveRegressor', PassiveAggressiveRegressor(C=1.0, average=False, early_stopping=False,
                           epsilon=0.1, fit_intercept=True,
                           loss='epsilon_insensitive', max_iter=1000,
                           n_iter_no_change=5, random_state=None, shuffle=True,
                           tol=0.001, validation_fraction=0.1, verbose=0,
                           warm_start=False))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'PassiveAggressiveRegressor__max_iter': [500, 1000, 1500], 'PassiveAggressiveRegressor__fit_intercept': [True, False], 'PassiveAggressiveRegressor__early_stopping': [True, False], 'PassiveAggressiveRegressor__shuffle': [True, False], 'PassiveAggressiveRegressor__warm_start': [True, False]};8;30;9;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=True, with_std=True)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=5,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=False)),
                ('PassiveAggressiveRegressor',
                 PassiveAggressiveRegressor(C=1.0, average=False,
                                            early_stopping=True, epsilon=0.1,
                                            fit_intercept=True,
                                            loss='epsilon_insensitive',
                                            max_iter=500, n_iter_no_change=5,
                                            random_state=None, shuffle=False,
                                            tol=0.001, validation_fraction=0.1,
                                            verbose=0, warm_start=False))],
         verbose=False)";{'standard_scaler__with_std': True, 'standard_scaler__with_mean': True, 'pca__whiten': False, 'pca__svd_solver': 'randomized', 'pca__n_components': 5, 'PassiveAggressiveRegressor__warm_start': False, 'PassiveAggressiveRegressor__shuffle': False, 'PassiveAggressiveRegressor__max_iter': 500, 'PassiveAggressiveRegressor__fit_intercept': True, 'PassiveAggressiveRegressor__early_stopping': True}
SGDRegressor;0.5518575851393189;0.7190402476780186;0.016226851190788164;0.0;6727456;train_test_split 25%;standard_scaler;pca;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('SGDRegressor', SGDRegressor(alpha=0.0001, average=False, early_stopping=False, epsilon=0.1,
             eta0=0.01, fit_intercept=True, l1_ratio=0.15,
             learning_rate='invscaling', loss='squared_loss', max_iter=1000,
             n_iter_no_change=5, penalty='l2', power_t=0.25, random_state=None,
             shuffle=True, tol=0.001, validation_fraction=0.1, verbose=0,
             warm_start=False))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'SGDRegressor__loss': ('squared_loss', 'huber', 'epsilon_insensitive', 'squared_epsilon_insensitive'), 'SGDRegressor__penalty': ('l1', 'l2', 'elasticnet', None), 'SGDRegressor__max_iter': [500, 1000, 1500], 'SGDRegressor__shuffle': [True, False], 'SGDRegressor__warm_start': [True, False], 'SGDRegressor__learning_rate': ('constant', 'optimal', 'invscaling', 'adaptive'), 'SGDRegressor__early_stopping': [True, False]};8;8;5;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=False, with_std=False)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=9,
                     random_state=None, svd_solver='auto', tol=0.0,
                     whiten=True)),
                ('SGDRegressor',
                 SGDRegressor(alpha=0.0001, average=False, early_stopping=True,
                              epsilon=0.1, eta0=0.01, fit_intercept=True,
                              l1_ratio=0.15, learning_rate='invscaling',
                              loss='epsilon_insensitive', max_iter=500,
                              n_iter_no_change=5, penalty='l2', power_t=0.25,
                              random_state=None, shuffle=False, tol=0.001,
                              validation_fraction=0.1, verbose=0,
                              warm_start=True))],
         verbose=False)";{'standard_scaler__with_std': False, 'standard_scaler__with_mean': False, 'pca__whiten': True, 'pca__svd_solver': 'auto', 'pca__n_components': 9, 'SGDRegressor__warm_start': True, 'SGDRegressor__shuffle': False, 'SGDRegressor__penalty': 'l2', 'SGDRegressor__max_iter': 500, 'SGDRegressor__loss': 'epsilon_insensitive', 'SGDRegressor__learning_rate': 'invscaling', 'SGDRegressor__early_stopping': True}
TheilSenRegressor;0.5913312693498453;0.7972136222910217;0.017832952924792485;1.0;8858331;train_test_split 25%;standard_scaler;pca;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('TheilSenRegressor', TheilSenRegressor(copy_X=True, fit_intercept=True, max_iter=300,
                  max_subpopulation=10000, n_jobs=None, n_subsamples=None,
                  random_state=None, tol=0.001, verbose=False))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'TheilSenRegressor__fit_intercept': [True, False], 'TheilSenRegressor__max_iter': [150, 300, 450]};8;6;6;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=False, with_std=False)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=7,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=True)),
                ('TheilSenRegressor',
                 TheilSenRegressor(copy_X=True, fit_intercept=True,
                                   max_iter=300, max_subpopulation=10000,
                                   n_jobs=None, n_subsamples=None,
                                   random_state=None, tol=0.001,
                                   verbose=False))],
         verbose=False)";{'standard_scaler__with_std': False, 'standard_scaler__with_mean': False, 'pca__whiten': True, 'pca__svd_solver': 'full', 'pca__n_components': 7, 'TheilSenRegressor__max_iter': 300, 'TheilSenRegressor__fit_intercept': True}
KNeighborsRegressor;0.423374613003096;0.5332817337461301;0.012330591009408538;0.0;990948;train_test_split 25%;standard_scaler;pca;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('KNeighborsRegressor', KNeighborsRegressor(algorithm='auto', leaf_size=30, metric='minkowski',
                    metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                    weights='uniform'))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'KNeighborsRegressor__n_neighbors': [3, 5, 7, 9], 'KNeighborsRegressor__weights': ('uniform', 'distance'), 'KNeighborsRegressor__algorithm': ('auto', 'ball_tree', 'kd_tree', 'brute'), 'KNeighborsRegressor__p': [1, 2]};8;3;5;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=True, with_std=True)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=7,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=True)),
                ('KNeighborsRegressor',
                 KNeighborsRegressor(algorithm='brute', leaf_size=30,
                                     metric='minkowski', metric_params=None,
                                     n_jobs=None, n_neighbors=9, p=2,
                                     weights='distance'))],
         verbose=False)";{'standard_scaler__with_std': True, 'standard_scaler__with_mean': True, 'pca__whiten': True, 'pca__svd_solver': 'randomized', 'pca__n_components': 7, 'KNeighborsRegressor__weights': 'distance', 'KNeighborsRegressor__p': 2, 'KNeighborsRegressor__n_neighbors': 9, 'KNeighborsRegressor__algorithm': 'brute'}
RadiusNeighborsRegressor;0.5054179566563467;0.6478328173374613;0.01491917844250505;0.0;8991143;train_test_split 25%;standard_scaler;pca;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('RadiusNeighborsRegressor', RadiusNeighborsRegressor(algorithm='auto', leaf_size=30, metric='minkowski',
                         metric_params=None, n_jobs=None, p=2, radius=1.0,
                         weights='uniform'))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'RadiusNeighborsRegressor__weights': ('uniform', 'distance'), 'RadiusNeighborsRegressor__algorithm': ('ball_tree', 'kd_tree', 'brute', 'auto'), 'RadiusNeighborsRegressor__p': [1, 2]};8;27;8;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=False, with_std=False)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=3,
                     random_state=None, svd_solver='full', tol=0.0,
                     whiten=True)),
                ('RadiusNeighborsRegressor',
                 RadiusNeighborsRegressor(algorithm='kd_tree', leaf_size=30,
                                          metric='minkowski',
                                          metric_params=None, n_jobs=None, p=2,
                                          radius=1.0, weights='distance'))],
         verbose=False)";{'standard_scaler__with_std': False, 'standard_scaler__with_mean': False, 'pca__whiten': True, 'pca__svd_solver': 'full', 'pca__n_components': 3, 'RadiusNeighborsRegressor__weights': 'distance', 'RadiusNeighborsRegressor__p': 2, 'RadiusNeighborsRegressor__algorithm': 'kd_tree'}
ExtraTreeRegressor;0.5936532507739938;0.8955108359133127;0.0204992269541936;0.0;5600317;train_test_split 25%;standard_scaler;pca;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('pca', PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)), ('ExtraTreeRegressor', ExtraTreeRegressor(criterion='mse', max_depth=None, max_features='auto',
                   max_leaf_nodes=None, min_impurity_decrease=0.0,
                   min_impurity_split=None, min_samples_leaf=1,
                   min_samples_split=2, min_weight_fraction_leaf=0.0,
                   random_state=None, splitter='random'))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'pca__n_components': [None, 3, 5, 7, 9, 11], 'pca__whiten': [True, False], 'pca__svd_solver': ('auto', 'full', 'randomized'), 'ExtraTreeRegressor__criterion': ('mse', 'mae'), 'ExtraTreeRegressor__max_features': ('auto', 'sqrt', 'log2')};8;30;9;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=True, with_std=False)),
                ('pca',
                 PCA(copy=True, iterated_power='auto', n_components=7,
                     random_state=None, svd_solver='randomized', tol=0.0,
                     whiten=False)),
                ('ExtraTreeRegressor',
                 ExtraTreeRegressor(criterion='mae', max_depth=None,
                                    max_features='log2', max_leaf_nodes=None,
                                    min_impurity_decrease=0.0,
                                    min_impurity_split=None, min_samples_leaf=1,
                                    min_samples_split=2,
                                    min_weight_fraction_leaf=0.0,
                                    random_state=None, splitter='random'))],
         verbose=False)";{'standard_scaler__with_std': False, 'standard_scaler__with_mean': True, 'pca__whiten': False, 'pca__svd_solver': 'randomized', 'pca__n_components': 7, 'ExtraTreeRegressor__max_features': 'log2', 'ExtraTreeRegressor__criterion': 'mae'}
RandomForestRegressor;0.43078412391093895;0.5333978702807357;0.01235771509338082;0.0;5369524;train_test_split 20%;normalizer;Não utilizado;"[('normalizer', Normalizer(copy=True, norm='l2')), ('RandomForestRegressor', RandomForestRegressor(bootstrap=True, criterion='mse', max_depth=None,
                      max_features='auto', max_leaf_nodes=None,
                      min_impurity_decrease=0.0, min_impurity_split=None,
                      min_samples_leaf=1, min_samples_split=2,
                      min_weight_fraction_leaf=0.0, n_estimators='warn',
                      n_jobs=None, oob_score=False, random_state=None,
                      verbose=0, warm_start=False))]";{'normalizer__norm': ('l1', 'l2', 'max'), 'RandomForestRegressor__n_estimators': [5, 10, 15], 'RandomForestRegressor__criterion': ('mse', 'mae'), 'RandomForestRegressor__max_features': ('auto', 'sqrt', 'log2'), 'RandomForestRegressor__bootstrap': [True, False], 'RandomForestRegressor__warm_start': [True, False]};36;5;9;"Pipeline(memory=None,
         steps=[('normalizer', Normalizer(copy=True, norm='max')),
                ('RandomForestRegressor',
                 RandomForestRegressor(bootstrap=True, criterion='mse',
                                       max_depth=None, max_features='log2',
                                       max_leaf_nodes=None,
                                       min_impurity_decrease=0.0,
                                       min_impurity_split=None,
                                       min_samples_leaf=1, min_samples_split=2,
                                       min_weight_fraction_leaf=0.0,
                                       n_estimators=15, n_jobs=None,
                                       oob_score=False, random_state=None,
                                       verbose=0, warm_start=False))],
         verbose=False)";{'normalizer__norm': 'max', 'RandomForestRegressor__warm_start': False, 'RandomForestRegressor__n_estimators': 15, 'RandomForestRegressor__max_features': 'log2', 'RandomForestRegressor__criterion': 'mse', 'RandomForestRegressor__bootstrap': True}
ExtraTreesRegressor;0.4298160696999032;0.5382381413359149;0.01251722415275397;0.0;3719899;train_test_split 20%;normalizer;Não utilizado;"[('normalizer', Normalizer(copy=True, norm='l2')), ('ExtraTreesRegressor', ExtraTreesRegressor(bootstrap=False, criterion='mse', max_depth=None,
                    max_features='auto', max_leaf_nodes=None,
                    min_impurity_decrease=0.0, min_impurity_split=None,
                    min_samples_leaf=1, min_samples_split=2,
                    min_weight_fraction_leaf=0.0, n_estimators='warn',
                    n_jobs=None, oob_score=False, random_state=None, verbose=0,
                    warm_start=False))]";{'normalizer__norm': ('l1', 'l2', 'max'), 'ExtraTreesRegressor__n_estimators': [5, 10, 15], 'ExtraTreesRegressor__criterion': ('mse', 'mae'), 'ExtraTreesRegressor__max_features': ('auto', 'sqrt', 'log2'), 'ExtraTreesRegressor__bootstrap': [True, False], 'ExtraTreesRegressor__warm_start': [True, False]};36;30;6;"Pipeline(memory=None,
         steps=[('normalizer', Normalizer(copy=True, norm='l1')),
                ('ExtraTreesRegressor',
                 ExtraTreesRegressor(bootstrap=False, criterion='mae',
                                     max_depth=None, max_features='sqrt',
                                     max_leaf_nodes=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=1, min_samples_split=2,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=10, n_jobs=None,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=True))],
         verbose=False)";{'normalizer__norm': 'l1', 'ExtraTreesRegressor__warm_start': True, 'ExtraTreesRegressor__n_estimators': 10, 'ExtraTreesRegressor__max_features': 'sqrt', 'ExtraTreesRegressor__criterion': 'mae', 'ExtraTreesRegressor__bootstrap': False}
BaggingRegressor;0.43078412391093895;0.5198451113262342;0.011920281129153524;0.0;5662633;train_test_split 20%;normalizer;Não utilizado;"[('normalizer', Normalizer(copy=True, norm='l2')), ('BaggingRegressor', BaggingRegressor(base_estimator=None, bootstrap=True, bootstrap_features=False,
                 max_features=1.0, max_samples=1.0, n_estimators=10,
                 n_jobs=None, oob_score=False, random_state=None, verbose=0,
                 warm_start=False))]";{'normalizer__norm': ('l1', 'l2', 'max'), 'BaggingRegressor__n_estimators': [5, 10, 15], 'BaggingRegressor__bootstrap': [True, False], 'BaggingRegressor__warm_start': [True, False]};36;31;10;"Pipeline(memory=None,
         steps=[('normalizer', Normalizer(copy=True, norm='l2')),
                ('BaggingRegressor',
                 BaggingRegressor(base_estimator=None, bootstrap=True,
                                  bootstrap_features=False, max_features=1.0,
                                  max_samples=1.0, n_estimators=15, n_jobs=None,
                                  oob_score=False, random_state=None, verbose=0,
                                  warm_start=True))],
         verbose=False)";{'normalizer__norm': 'l2', 'BaggingRegressor__warm_start': True, 'BaggingRegressor__n_estimators': 15, 'BaggingRegressor__bootstrap': True}
GradientBoostingRegressor;0.5730880929332043;0.7086156824782188;0.016090658632838442;1.0;295707;train_test_split 20%;normalizer;Não utilizado;"[('normalizer', Normalizer(copy=True, norm='l2')), ('GradientBoostingRegressor', GradientBoostingRegressor(alpha=0.9, criterion='friedman_mse', init=None,
                          learning_rate=0.1, loss='ls', max_depth=3,
                          max_features=None, max_leaf_nodes=None,
                          min_impurity_decrease=0.0, min_impurity_split=None,
                          min_samples_leaf=1, min_samples_split=2,
                          min_weight_fraction_leaf=0.0, n_estimators=100,
                          n_iter_no_change=None, presort='auto',
                          random_state=None, subsample=1.0, tol=0.0001,
                          validation_fraction=0.1, verbose=0, warm_start=False))]";{'normalizer__norm': ('l1', 'l2', 'max'), 'GradientBoostingRegressor__loss': ('ls', 'lad', 'huber', 'quantile'), 'GradientBoostingRegressor__criterion': ('friedman_mse', 'mse', 'mae'), 'GradientBoostingRegressor__max_features': ('auto', 'sqrt', 'log2'), 'GradientBoostingRegressor__n_estimators': [50, 100, 150], 'GradientBoostingRegressor__warm_start': [True, False]};36;39;5;"Pipeline(memory=None,
         steps=[('normalizer', Normalizer(copy=True, norm='max')),
                ('GradientBoostingRegressor',
                 GradientBoostingRegressor(alpha=0.9, criterion='friedman_mse',
                                           init=None, learning_rate=0.1,
                                           loss='ls', max_depth=3,
                                           max_features='log2',
                                           max_leaf_nodes=None,
                                           min_impurity_decrease=0.0,
                                           min_impurity_split=None,
                                           min_samples_leaf=1,
                                           min_samples_split=2,
                                           min_weight_fraction_leaf=0.0,
                                           n_estimators=50,
                                           n_iter_no_change=None,
                                           presort='auto', random_state=None,
                                           subsample=1.0, tol=0.0001,
                                           validation_fraction=0.1, verbose=0,
                                           warm_start=False))],
         verbose=False)";{'normalizer__norm': 'max', 'GradientBoostingRegressor__warm_start': False, 'GradientBoostingRegressor__n_estimators': 50, 'GradientBoostingRegressor__max_features': 'log2', 'GradientBoostingRegressor__loss': 'ls', 'GradientBoostingRegressor__criterion': 'friedman_mse'}
AdaBoostRegressor;0.6098741529525653;0.7550822846079379;0.0172121004825605;1.0;8808236;train_test_split 20%;normalizer;Não utilizado;"[('normalizer', Normalizer(copy=True, norm='l2')), ('AdaBoostRegressor', AdaBoostRegressor(base_estimator=None, learning_rate=1.0, loss='linear',
                  n_estimators=50, random_state=None))]";{'normalizer__norm': ('l1', 'l2', 'max'), 'AdaBoostRegressor__loss': ('linear', 'square', 'exponential'), 'AdaBoostRegressor__n_estimators': [25, 50, 75]};36;15;3;"Pipeline(memory=None,
         steps=[('normalizer', Normalizer(copy=True, norm='l1')),
                ('AdaBoostRegressor',
                 AdaBoostRegressor(base_estimator=None, learning_rate=1.0,
                                   loss='exponential', n_estimators=25,
                                   random_state=None))],
         verbose=False)";{'normalizer__norm': 'l1', 'AdaBoostRegressor__n_estimators': 25, 'AdaBoostRegressor__loss': 'exponential'}
