fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;type_Red;type_White
9.2;0.14;0.37;1.1;0.034;36.0;84.0;0.99136;3.05;0.55;11.6;6;0;1
8.3;0.26;0.42;2.0;0.08;11.0;27.0;0.9974;3.21;0.8;9.4;6;1;0
6.1;0.25;0.28;10.0;0.055;56.0;131.0;0.9940000000000001;3.22;0.35;10.9;6;0;1
7.0;0.5;0.14;1.8;0.078;10.0;23.0;0.99636;3.53;0.61;10.4;5;1;0
5.9;0.655;0.0;5.6;0.033;8.0;31.0;0.9936;3.32;0.51;10.5;4;0;1
6.4;0.34;0.2;14.9;0.06;37.0;162.0;0.9983;3.13;0.45;9.0;4;0;1
5.8;0.19;0.33;4.2;0.038;49.0;133.0;0.9910700000000001;3.16;0.42;11.3;7;0;1
7.2;0.67;0.0;2.2;0.068;10.0;24.0;0.9956;3.42;0.72;11.1;6;1;0
6.6;0.37;0.24;2.0;0.064;23.0;120.0;0.9946;3.32;0.54;9.4;5;0;1
7.1;0.37;0.67;10.5;0.045;49.0;155.0;0.9975;3.16;0.44;8.7;5;0;1
7.6;0.3;0.42;2.0;0.052000000000000005;6.0;24.0;0.9963;3.44;0.82;11.9;6;1;0
6.2;0.33;0.27;4.9;0.036000000000000004;30.0;134.0;0.9927;3.2;0.42;10.4;7;0;1
6.4;0.31;0.5;5.8;0.038;42.0;111.0;0.9918899999999999;3.18;0.53;11.9;7;0;1
7.6;0.63;0.03;2.0;0.08;27.0;43.0;0.9957799999999999;3.44;0.64;10.9;6;1;0
7.4;0.4;0.41;14.1;0.053;37.0;194.0;0.9988600000000001;3.2;0.63;9.4;6;0;1
8.0;0.37;0.32;1.6;0.04;32.0;166.0;0.992;3.0;0.55;11.3;7;0;1
6.4;0.5;0.2;2.4;0.059000000000000004;19.0;112.0;0.9931399999999999;3.18;0.4;9.2;6;0;1
7.3;0.28;0.54;12.9;0.049;62.0;162.5;0.9984;3.06;0.45;9.1;6;0;1
7.1;0.64;0.49;1.8;0.05;17.0;128.0;0.9946;3.31;0.58;10.6;4;0;1
8.9;0.21;0.34;7.1;0.037000000000000005;33.0;150.0;0.9962;3.1;0.45;9.7;6;0;1
6.7;0.21;0.34;1.5;0.035;45.0;123.0;0.98949;3.24;0.36;12.6;7;0;1
8.6;0.49;0.28;1.9;0.11;20.0;136.0;0.9972;2.93;1.95;9.9;6;1;0
5.4;0.5;0.13;5.0;0.027999999999999997;12.0;107.0;0.99079;3.48;0.88;13.5;7;0;1
6.8;0.25;0.3;11.8;0.043;53.0;133.0;0.99524;3.03;0.58;10.4;6;0;1
8.6;0.315;0.4;2.2;0.079;3.0;6.0;0.9951200000000001;3.27;0.67;11.9;6;1;0
6.4;0.41;0.01;6.1;0.048;20.0;70.0;0.9936200000000001;3.19;0.42;10.0;5;0;1
9.0;0.31;0.48;6.6;0.043;11.0;73.0;0.9938;2.9;0.38;11.6;5;0;1
6.5;0.33;0.24;14.5;0.048;20.0;96.0;0.99456;3.06;0.3;11.5;8;0;1
4.5;0.19;0.21;0.95;0.033;89.0;159.0;0.9933200000000001;3.34;0.42;8.0;5;0;1
7.3;0.585;0.18;2.4;0.078;15.0;60.0;0.9963799999999999;3.31;0.54;9.8;5;1;0
6.7;0.54;0.28;5.4;0.06;21.0;105.0;0.9949;3.27;0.37;9.0;5;0;1
7.0;0.22;0.31;2.7;0.03;41.0;136.0;0.9898;3.16;0.37;12.7;7;0;1
8.0;0.715;0.22;2.3;0.075;13.0;81.0;0.9968799999999999;3.24;0.54;9.5;6;1;0
6.2;0.36;0.45;10.4;0.06;22.0;184.0;0.99711;3.31;0.56;9.8;6;0;1
5.9;0.34;0.3;3.8;0.035;57.0;135.0;0.99016;3.09;0.34;12.0;6;0;1
9.2;0.59;0.24;3.3;0.10099999999999999;20.0;47.0;0.9988;3.26;0.67;9.6;5;1;0
7.2;0.23;0.38;14.3;0.057999999999999996;55.0;194.0;0.9979;3.09;0.44;9.0;6;0;1
6.2;0.21;0.29;1.6;0.039;24.0;92.0;0.9911399999999999;3.27;0.5;11.2;6;0;1
7.3;0.32;0.48;13.3;0.06;57.0;196.0;0.9982;3.04;0.5;9.2;5;0;1
5.9;0.2;0.4;1.3;0.047;23.0;92.0;0.9923200000000001;3.2;0.45;10.0;6;0;1
6.3;0.26;0.25;7.8;0.057999999999999996;44.0;166.0;0.9961;3.24;0.41;9.0;5;0;1
6.5;0.44;0.47;5.45;0.013999999999999999;44.0;137.0;0.9898399999999999;3.13;0.32;13.0;8;0;1
7.4;0.19;0.31;14.5;0.045;39.0;193.0;0.9986;3.1;0.5;9.2;6;0;1
8.2;0.885;0.2;1.4;0.086;7.0;31.0;0.9946;3.11;0.46;10.0;5;1;0
6.4;0.17;0.27;9.9;0.047;26.0;101.0;0.9959600000000001;3.34;0.5;9.9;6;0;1
10.3;0.34;0.52;2.8;0.159;15.0;75.0;0.9998;3.18;0.64;9.4;5;1;0
6.2;0.3;0.21;1.1;0.032;31.0;111.0;0.9889;2.97;0.42;12.2;6;0;1
8.0;0.28;0.44;1.8;0.081;28.0;68.0;0.9950100000000001;3.36;0.66;11.2;5;1;0
6.2;0.56;0.09;1.7;0.053;24.0;32.0;0.9940200000000001;3.54;0.6;11.3;5;1;0
10.8;0.45;0.33;2.5;0.099;20.0;38.0;0.99818;3.24;0.71;10.8;5;1;0
6.7;0.75;0.01;2.4;0.078;17.0;32.0;0.9955;3.55;0.61;12.8;6;1;0
7.7;0.29;0.48;2.3;0.049;36.0;178.0;0.9931;3.17;0.64;10.6;6;0;1
7.7;0.34;0.58;11.1;0.039;41.0;151.0;0.9978;3.06;0.49;8.6;5;0;1
5.5;0.485;0.0;1.5;0.065;8.0;103.0;0.9940000000000001;3.63;0.4;9.7;4;0;1
8.8;0.6;0.29;2.2;0.098;5.0;15.0;0.9988;3.36;0.49;9.1;5;1;0
6.2;0.53;0.02;0.9;0.035;6.0;81.0;0.99234;3.24;0.35;9.5;4;0;1
15.6;0.645;0.49;4.2;0.095;10.0;23.0;100.315;2.92;0.74;11.1;5;1;0
6.6;0.19;0.28;1.1;0.044000000000000004;38.0;100.0;0.9904;3.22;0.69;11.2;6;0;1
7.3;0.24;0.39;17.95;0.057;45.0;149.0;0.9999;3.21;0.36;8.6;5;0;1
6.1;0.33;0.32;7.8;0.052000000000000005;52.0;183.0;0.9965700000000001;3.39;0.65;9.5;5;0;1
7.9;0.16;0.3;7.4;0.05;58.0;152.0;0.9961200000000001;3.12;0.37;9.5;6;0;1
6.8;0.19;0.33;4.9;0.047;42.0;130.0;0.9928299999999999;3.12;0.56;11.0;6;0;1
6.8;0.56;0.22;1.8;0.07400000000000001;15.0;24.0;0.9943799999999999;3.4;0.82;11.2;6;1;0
6.4;0.42;0.74;12.8;0.076;48.0;209.0;0.9978;3.12;0.58;9.0;6;0;1
15.5;0.645;0.49;4.2;0.095;10.0;23.0;100.315;2.92;0.74;11.1;5;1;0
9.1;0.3;0.41;2.0;0.068;10.0;24.0;0.99523;3.27;0.85;11.7;7;1;0
6.4;0.3;0.27;5.0;0.057999999999999996;27.0;151.0;0.99198;3.22;0.49;12.2;6;0;1
6.1;0.38;0.14;3.9;0.06;27.0;113.0;0.99344;3.07;0.34;9.2;4;0;1
7.8;0.61;0.29;1.6;0.114;9.0;29.0;0.9974;3.26;1.56;9.1;5;1;0
6.1;0.17;0.28;4.5;0.033;46.0;150.0;0.9933;3.43;0.49;10.9;6;0;1
7.4;0.18;0.31;1.4;0.057999999999999996;38.0;167.0;0.9931;3.16;0.53;10.0;7;0;1
7.0;0.78;0.08;2.0;0.09300000000000001;10.0;19.0;0.9956;3.4;0.47;10.0;5;1;0
7.6;0.19;0.38;10.6;0.06;48.0;174.0;0.9962;3.13;0.38;10.5;6;0;1
8.0;0.61;0.38;12.1;0.301;24.0;220.0;0.9993;2.94;0.48;9.2;5;0;1
5.2;0.21;0.31;1.7;0.048;17.0;61.0;0.9895299999999999;3.24;0.37;12.0;7;0;1
8.1;0.31;0.24;1.6;0.032;10.0;67.0;0.9924;3.08;0.47;10.5;5;0;1
7.3;0.22;0.31;2.3;0.018000000000000002;45.0;80.0;0.98936;3.06;0.34;12.9;7;0;1
8.8;0.55;0.04;2.2;0.11900000000000001;14.0;56.0;0.9962;3.21;0.6;10.9;6;1;0
7.0;0.31;0.31;9.1;0.036000000000000004;45.0;140.0;0.99216;2.98;0.31;12.0;7;0;1
7.3;0.26;0.32;1.2;0.040999999999999995;29.0;94.0;0.9897799999999999;3.07;0.45;12.0;6;0;1
7.9;0.28;0.41;4.9;0.057999999999999996;31.0;153.0;0.9966;3.27;0.51;9.7;6;0;1
7.4;0.27;0.26;11.8;0.053;55.0;173.0;0.9969899999999999;3.11;0.6;9.8;5;0;1
8.9;0.635;0.37;1.7;0.263;5.0;62.0;0.9971;3.0;1.09;9.3;5;1;0
7.7;0.26;0.51;2.6;0.045;26.0;159.0;0.99126;3.0;0.5;11.2;6;0;1
6.2;0.32;0.12;4.8;0.054000000000000006;6.0;97.0;0.99424;3.16;0.5;9.3;5;0;1
7.0;0.24;0.35;1.5;0.052000000000000005;51.0;128.0;0.9941;3.41;0.59;10.4;7;0;1
6.6;0.36;0.24;0.9;0.038;15.0;72.0;0.99066;3.23;0.39;11.0;5;0;1
6.1;0.36;0.58;15.0;0.044000000000000004;42.0;115.0;0.9978;3.15;0.51;9.0;5;0;1
5.5;0.21;0.25;1.2;0.04;18.0;75.0;0.99006;3.31;0.56;11.3;6;0;1
6.7;0.2;0.41;9.1;0.044000000000000004;50.0;166.0;0.9954;3.14;0.58;9.8;6;0;1
7.0;0.6;0.12;2.2;0.083;13.0;28.0;0.9966;3.52;0.62;10.2;7;1;0
6.9;0.45;0.27;4.7;0.035;17.0;80.0;0.9905799999999999;3.12;0.36;12.5;7;0;1
7.6;0.13;0.34;9.3;0.062;40.0;126.0;0.9966;3.21;0.39;9.6;5;0;1
7.5;0.18;0.31;11.7;0.051;24.0;94.0;0.997;3.19;0.44;9.5;7;0;1
5.8;0.3;0.38;4.9;0.039;22.0;86.0;0.9896299999999999;3.23;0.58;13.1;7;0;1
6.0;0.28;0.52;5.0;0.078;30.0;139.0;0.9949399999999999;3.1;0.36;9.0;6;0;1
6.7;0.3;0.45;10.6;0.032;56.0;212.0;0.997;3.22;0.59;9.5;6;0;1
8.2;0.27;0.43;1.6;0.035;31.0;128.0;0.9916;3.1;0.5;12.3;6;0;1
7.2;0.32;0.4;8.7;0.038;45.0;154.0;0.9956799999999999;3.2;0.47;10.4;6;0;1
6.9;0.25;0.29;2.4;0.038;28.0;76.0;0.9908799999999999;3.01;0.36;11.7;7;0;1
7.0;0.26;0.26;10.8;0.039;37.0;184.0;0.99787;3.47;0.58;10.3;7;0;1
6.5;0.23;0.33;13.8;0.042;25.0;139.0;0.99695;3.35;0.56;10.4;6;0;1
8.3;0.15;0.39;1.3;0.055;32.0;146.0;0.993;3.08;0.39;10.5;6;0;1
8.1;0.43;0.42;6.6;0.033;36.0;141.0;0.9918;2.98;0.39;13.3;7;0;1
9.1;0.5;0.3;1.9;0.065;8.0;17.0;0.99774;3.32;0.71;10.5;6;1;0
6.5;0.3;0.29;2.25;0.037000000000000005;8.0;210.0;0.9937;3.19;0.62;9.9;5;0;1
7.9;0.18;0.49;5.2;0.051;36.0;157.0;0.9953;3.18;0.48;10.6;6;0;1
7.0;0.58;0.12;1.9;0.091;34.0;124.0;0.9956;3.44;0.48;10.5;5;1;0
6.9;0.4;0.24;2.5;0.083;30.0;45.0;0.9959;3.26;0.58;10.0;5;1;0
6.6;0.22;0.23;17.3;0.047;37.0;118.0;0.9990600000000001;3.08;0.46;8.8;6;0;1
6.7;0.17;0.5;2.1;0.043;27.0;122.0;0.9923;3.15;0.45;10.3;6;0;1
7.0;0.32;0.27;7.1;0.027000000000000003;37.0;122.0;0.99165;3.15;0.6;12.6;7;0;1
8.2;0.73;0.21;1.7;0.07400000000000001;5.0;13.0;0.9968;3.2;0.52;9.5;5;1;0
6.0;0.38;0.26;3.5;0.035;38.0;111.0;0.98872;3.18;0.47;13.6;7;0;1
7.3;0.34;0.39;5.2;0.04;45.0;163.0;0.9925;3.3;0.47;12.4;6;0;1
8.5;0.25;0.27;4.7;0.031;31.0;92.0;0.9922;3.01;0.33;12.0;6;0;1
6.4;0.33;0.28;4.0;0.04;24.0;81.0;0.9903;3.26;0.64;12.6;7;0;1
5.8;0.27;0.26;3.5;0.071;26.0;69.0;0.9899399999999999;3.1;0.38;11.5;6;0;1
7.6;0.52;0.49;14.0;0.034;37.0;156.0;0.9958;3.14;0.38;11.8;7;0;1
7.1;0.36;0.4;1.95;0.033;26.0;118.0;0.98934;3.2;0.45;13.5;7;0;1
6.8;0.53;0.35;3.8;0.034;26.0;109.0;0.9906;3.26;0.57;12.7;8;0;1
7.2;0.23;0.19;13.7;0.052000000000000005;47.0;197.0;0.99865;3.12;0.53;9.0;5;0;1
6.8;0.18;0.3;12.8;0.062;19.0;171.0;0.99808;3.0;0.52;9.0;7;0;1
8.1;0.38;0.28;2.1;0.066;13.0;30.0;0.9968;3.23;0.73;9.7;7;1;0
4.4;0.54;0.09;5.1;0.038;52.0;97.0;0.9902200000000001;3.41;0.4;12.2;7;0;1
12.0;0.63;0.5;1.4;0.071;6.0;26.0;0.9979100000000001;3.07;0.6;10.4;4;1;0
7.6;0.345;0.26;1.9;0.043;15.0;134.0;0.9936;3.08;0.38;9.5;5;0;1
7.1;0.38;0.29;13.6;0.040999999999999995;30.0;137.0;0.99461;3.02;0.96;12.1;6;0;1
5.9;0.28;0.34;3.6;0.04;50.0;194.0;0.9912;3.31;0.52;11.6;6;0;1
7.0;0.15;0.28;14.7;0.051;29.0;149.0;0.99792;2.96;0.39;9.0;7;0;1
6.0;0.32;0.3;1.3;0.025;18.0;112.0;0.9880200000000001;3.07;0.64;13.3;7;0;1
6.8;0.23;0.4;1.6;0.047;5.0;133.0;0.993;3.23;0.7;11.4;6;0;1
7.2;0.26;0.24;7.0;0.023;19.0;130.0;0.9917600000000001;3.14;0.49;12.8;7;0;1
6.7;0.58;0.08;1.8;0.09699999999999999;15.0;65.0;0.9959;3.28;0.54;9.2;5;1;0
8.2;0.28;0.4;2.4;0.052000000000000005;4.0;10.0;0.99356;3.33;0.7;12.8;7;1;0
10.0;0.29;0.4;2.9;0.098;10.0;26.0;10.006;3.48;0.91;9.7;5;1;0
6.7;0.26;0.39;1.1;0.04;45.0;147.0;0.9935;3.32;0.58;9.6;8;0;1
9.6;0.6;0.5;2.3;0.079;28.0;71.0;0.9997;3.5;0.57;9.7;5;1;0
12.2;0.45;0.49;1.4;0.075;3.0;6.0;0.9969;3.13;0.63;10.4;5;1;0
8.6;0.53;0.22;2.0;0.1;7.0;27.0;0.9967;3.2;0.56;10.2;6;1;0
6.5;0.22;0.45;8.0;0.053;52.0;196.0;0.9959;3.23;0.48;9.1;6;0;1
6.8;0.18;0.3;12.8;0.062;19.0;171.0;0.99808;3.0;0.52;9.0;7;0;1
5.8;0.31;0.31;7.5;0.052000000000000005;55.0;230.0;0.9949;3.19;0.46;9.8;5;0;1
5.6;0.605;0.05;2.4;0.073;19.0;25.0;0.9925799999999999;3.56;0.55;12.9;5;1;0
7.1;0.46;0.14;2.8;0.076;15.0;37.0;0.99624;3.36;0.49;10.7;5;1;0
7.4;0.55;0.22;2.2;0.106;12.0;72.0;0.9959;3.05;0.63;9.2;5;1;0
6.6;0.22;0.28;4.9;0.042;51.0;180.0;0.9952;3.3;0.75;9.5;6;0;1
8.6;0.52;0.38;1.5;0.096;5.0;18.0;0.99666;3.2;0.52;9.4;5;1;0
6.6;0.19;0.43;10.9;0.045;53.0;154.0;0.9975200000000001;3.52;0.77;10.4;6;0;1
10.7;0.22;0.56;8.2;0.044000000000000004;37.0;181.0;0.998;2.87;0.68;9.5;6;0;1
6.0;0.26;0.32;3.8;0.028999999999999998;48.0;180.0;0.99011;3.15;0.34;12.0;6;0;1
11.1;0.18;0.48;1.5;0.068;7.0;15.0;0.9973;3.22;0.64;10.1;6;1;0
7.3;0.27;0.3;1.3;0.04;26.0;84.0;0.9922200000000001;3.28;0.53;10.7;6;0;1
5.7;0.43;0.3;5.7;0.039;24.0;98.0;0.992;3.54;0.61;12.3;7;0;1
5.3;0.31;0.38;10.5;0.031;53.0;140.0;0.99321;3.34;0.46;11.7;6;0;1
6.7;0.12;0.3;5.2;0.048;38.0;113.0;0.9935200000000001;3.33;0.44;10.1;7;0;1
6.9;0.28;0.41;1.7;0.05;10.0;136.0;0.993;3.16;0.71;11.4;6;0;1
7.6;0.23;0.29;8.6;0.053;65.0;146.0;0.9963;3.11;0.32;9.8;6;0;1
7.2;0.27;0.27;2.4;0.048;30.0;149.0;0.9936;3.1;0.51;9.2;6;0;1
5.6;0.18;0.29;2.3;0.04;5.0;47.0;0.99126;3.07;0.45;10.1;4;0;1
6.0;0.39;0.17;12.0;0.046;65.0;246.0;0.9976;3.15;0.38;9.0;6;0;1
7.3;0.73;0.24;1.9;0.10800000000000001;18.0;102.0;0.9967;3.26;0.59;9.3;5;1;0
5.4;0.23;0.36;1.5;0.03;74.0;121.0;0.9897600000000001;3.24;0.99;12.1;7;0;1
4.7;0.67;0.09;1.0;0.02;5.0;9.0;0.9872200000000001;3.3;0.34;13.6;5;0;1
6.8;0.18;0.28;9.8;0.039;29.0;113.0;0.99406;3.11;0.45;10.9;7;0;1
7.2;0.19;0.27;11.2;0.061;46.0;149.0;0.99772;2.99;0.59;9.3;6;0;1
7.4;0.6;0.26;7.3;0.07;36.0;121.0;0.9982;3.37;0.49;9.4;5;1;0
6.0;0.18;0.31;1.4;0.036000000000000004;14.0;75.0;0.99085;3.34;0.58;11.1;8;0;1
8.2;1.33;0.0;1.7;0.081;3.0;12.0;0.9964;3.53;0.49;10.9;5;1;0
8.3;0.18;0.3;1.1;0.033;20.0;57.0;0.9910899999999999;3.02;0.51;11.0;6;0;1
7.3;0.25;0.29;7.5;0.049;38.0;158.0;0.9965;3.43;0.38;9.6;5;0;1
6.8;0.26;0.22;4.8;0.040999999999999995;110.0;198.0;0.9943700000000001;3.29;0.67;10.6;5;0;1
7.1;0.18;0.74;15.6;0.044000000000000004;44.0;176.0;0.9996;3.38;0.67;9.0;6;0;1
7.0;0.45;0.34;19.8;0.04;12.0;67.0;0.9976;3.07;0.38;11.0;6;0;1
6.8;0.27;0.37;8.2;0.055;52.0;192.0;0.9958600000000001;3.11;0.52;9.5;6;0;1
6.0;0.59;0.0;0.8;0.037000000000000005;30.0;95.0;0.9903200000000001;3.1;0.4;10.9;4;0;1
7.0;0.32;0.35;1.5;0.039;24.0;125.0;0.9918;3.17;0.64;12.2;6;0;1
5.8;0.4;0.42;4.4;0.047;38.5;245.0;0.9937;3.25;0.57;9.6;6;0;1
6.7;0.19;0.36;1.1;0.026000000000000002;63.0;143.0;0.9912;3.27;0.48;11.0;6;0;1
6.0;0.31;0.27;2.3;0.042;19.0;120.0;0.9895200000000001;3.32;0.41;12.7;7;0;1
6.7;0.675;0.07;2.4;0.08900000000000001;17.0;82.0;0.9958;3.35;0.54;10.1;5;1;0
7.1;0.36;0.2;1.6;0.271;24.0;140.0;0.99356;3.11;0.63;9.8;5;0;1
6.7;0.46;0.24;1.7;0.077;18.0;34.0;0.9948;3.39;0.6;10.6;6;1;0
10.4;0.52;0.45;2.0;0.08;6.0;13.0;0.99774;3.22;0.76;11.4;6;1;0
6.4;0.21;0.44;7.4;0.045;47.0;182.0;0.9957;3.24;0.46;9.1;5;0;1
5.6;0.15;0.26;5.55;0.051;51.0;139.0;0.99336;3.47;0.5;11.0;6;0;1
12.6;0.39;0.49;2.5;0.08;8.0;20.0;0.9992;3.07;0.82;10.3;6;1;0
9.9;0.54;0.45;2.3;0.071;16.0;40.0;0.9991;3.39;0.62;9.4;5;1;0
6.9;0.33;0.31;4.2;0.04;21.0;93.0;0.9896;3.18;0.48;13.4;7;0;1
8.2;0.4;0.44;2.8;0.08900000000000001;11.0;43.0;0.9975;3.53;0.61;10.5;6;1;0
8.2;0.42;0.29;4.1;0.03;31.0;100.0;0.9911;3.0;0.32;12.8;7;0;1
6.3;0.32;0.26;12.0;0.049;63.0;170.0;0.9961;3.14;0.55;9.9;6;0;1
7.2;0.55;0.09;1.5;0.10800000000000001;16.0;151.0;0.9938;3.07;0.57;9.2;4;0;1
6.1;0.24;0.25;1.6;0.044000000000000004;24.0;115.0;0.9921;3.39;0.59;10.9;6;0;1
5.7;0.22;0.2;16.0;0.044000000000000004;41.0;113.0;0.9986200000000001;3.22;0.46;8.9;6;0;1
5.7;0.22;0.2;16.0;0.044000000000000004;41.0;113.0;0.9986200000000001;3.22;0.46;8.9;6;0;1
6.5;0.26;0.5;8.0;0.051;46.0;197.0;0.99536;3.18;0.47;9.5;5;0;1
6.3;0.23;0.33;6.9;0.052000000000000005;23.0;118.0;0.9938;3.23;0.46;10.4;6;0;1
7.5;0.14;0.34;1.3;0.055;50.0;153.0;0.9945;3.29;0.8;9.6;6;0;1
8.4;0.31;0.31;0.95;0.021;52.0;148.0;0.9903799999999999;2.93;0.32;11.5;5;0;1
6.2;0.35;0.2;18.1;0.069;33.0;158.0;0.99908;3.15;0.5;8.8;6;0;1
6.7;0.25;0.13;1.2;0.040999999999999995;81.0;174.0;0.992;3.14;0.42;9.8;5;0;1
6.1;0.4;0.18;9.0;0.051;28.5;259.0;0.9964;3.19;0.5;8.8;5;0;1
7.5;0.305;0.4;18.9;0.059000000000000004;44.0;170.0;1.0;2.99;0.46;9.0;5;0;1
9.8;0.36;0.45;1.6;0.042;11.0;124.0;0.9944;2.93;0.46;10.8;5;0;1
6.7;0.26;0.39;6.4;0.171;64.0;200.0;0.9956200000000001;3.19;0.38;9.4;6;0;1
7.0;0.53;0.43;6.1;0.028999999999999998;6.0;76.0;0.99118;3.08;0.5;12.5;8;0;1
5.6;0.28;0.28;4.2;0.044000000000000004;52.0;158.0;0.992;3.35;0.44;10.7;7;0;1
5.8;1.01;0.66;2.0;0.039;15.0;88.0;0.9935700000000001;3.66;0.6;11.5;6;1;0
11.3;0.37;0.41;2.3;0.08800000000000001;6.0;16.0;0.9988;3.09;0.8;9.3;5;1;0
7.7;0.34;0.28;11.0;0.04;31.0;117.0;0.99815;3.27;0.29;9.2;6;0;1
5.3;0.3;0.16;4.2;0.028999999999999998;37.0;100.0;0.9905;3.3;0.36;11.8;8;0;1
10.4;0.52;0.45;2.0;0.08;6.0;13.0;0.99774;3.22;0.76;11.4;6;1;0
5.9;0.44;0.0;1.6;0.042;3.0;11.0;0.9944;3.48;0.85;11.7;6;1;0
6.0;0.34;0.66;15.9;0.046;26.0;164.0;0.9979;3.14;0.5;8.8;6;0;1
5.8;0.22;0.29;0.9;0.034;34.0;89.0;0.98936;3.14;0.36;11.1;7;0;1
6.7;0.2;0.24;6.5;0.044000000000000004;28.0;100.0;0.9934799999999999;3.12;0.33;10.2;6;0;1
6.0;0.14;0.17;5.6;0.036000000000000004;37.0;127.0;0.9937299999999999;3.05;0.57;9.8;6;0;1
6.4;0.27;0.19;2.0;0.084;21.0;191.0;0.99516;3.49;0.63;9.6;4;0;1
7.0;0.22;0.26;1.1;0.037000000000000005;20.0;71.0;0.9902;3.1;0.38;11.7;6;0;1
7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9973;3.42;0.72;10.5;5;1;0
6.4;0.25;0.32;5.5;0.049;41.0;176.0;0.995;3.19;0.68;9.2;6;0;1
7.1;0.38;0.42;11.8;0.040999999999999995;32.0;193.0;0.99624;3.04;0.49;10.0;6;0;1
6.8;0.37;0.28;4.0;0.03;29.0;79.0;0.99;3.23;0.46;12.4;7;0;1
7.0;0.45;0.34;2.7;0.08199999999999999;16.0;72.0;0.998;3.55;0.6;9.5;5;1;0
6.1;0.17;0.27;1.5;0.055999999999999994;45.0;135.0;0.9924;3.2;0.43;10.2;6;0;1
9.2;0.25;0.34;1.2;0.026000000000000002;31.0;93.0;0.9916;2.93;0.37;11.3;7;0;1
8.3;0.19;0.49;1.2;0.051;11.0;137.0;0.9918;3.06;0.46;11.0;6;0;1
6.1;0.33;0.32;7.8;0.052000000000000005;52.0;183.0;0.9965700000000001;3.39;0.65;9.5;5;0;1
6.8;0.32;0.3;3.3;0.028999999999999998;15.0;80.0;0.99061;3.33;0.63;12.6;7;0;1
8.3;0.41;0.51;2.0;0.046;11.0;207.0;0.993;3.02;0.55;11.4;5;0;1
7.9;0.44;0.37;5.85;0.033;27.0;93.0;0.992;3.16;0.54;12.6;7;0;1
7.0;0.35;0.31;1.8;0.069;15.0;162.0;0.9944;3.18;0.47;9.4;5;0;1
5.8;0.36;0.5;1.0;0.127;63.0;178.0;0.9921200000000001;3.1;0.45;9.7;5;0;1
6.7;0.24;0.33;12.3;0.046;31.0;145.0;0.9983;3.36;0.4;9.5;5;0;1
6.2;0.785;0.0;2.1;0.06;6.0;13.0;0.99664;3.59;0.61;10.0;4;1;0
7.4;0.25;0.37;2.6;0.05;24.0;132.0;0.9913799999999999;3.04;0.53;11.2;6;0;1
7.9;0.51;0.25;2.9;0.077;21.0;45.0;0.9974;3.49;0.96;12.1;6;1;0
7.2;0.695;0.13;2.0;0.076;12.0;20.0;0.99546;3.29;0.54;10.1;5;1;0
6.3;0.27;0.46;11.75;0.037000000000000005;61.0;212.0;0.9971;3.25;0.53;9.5;6;0;1
7.4;0.2;0.35;6.1;0.025;10.0;40.0;0.99244;2.79;0.52;10.9;5;0;1
6.6;0.35;0.35;6.0;0.063;31.0;150.0;0.9953700000000001;3.1;0.47;9.4;6;0;1
7.0;0.35;0.3;6.5;0.027999999999999997;27.0;87.0;0.9936;3.4;0.42;11.4;7;0;1
6.5;0.315;0.2;6.6;0.040999999999999995;9.0;126.0;0.9949399999999999;2.94;0.51;8.8;5;0;1
7.6;0.19;0.32;18.75;0.047;32.0;193.0;100.014;3.1;0.5;9.3;7;0;1
7.9;0.14;0.45;1.8;0.05;17.0;114.0;0.9948;3.33;0.49;10.7;7;0;1
5.8;0.29;0.33;3.7;0.028999999999999998;30.0;88.0;0.9899399999999999;3.25;0.42;12.3;6;0;1
8.0;0.59;0.16;1.8;0.065;3.0;16.0;0.9962;3.42;0.92;10.5;7;1;0
7.5;0.51;0.02;1.7;0.084;13.0;31.0;0.9953799999999999;3.36;0.54;10.5;6;1;0
6.5;0.18;0.26;1.4;0.040999999999999995;40.0;141.0;0.9941;3.34;0.72;9.5;6;0;1
5.8;0.32;0.23;1.5;0.033;39.0;121.0;0.9887;2.96;0.35;12.0;5;0;1
6.7;0.16;0.28;2.5;0.046;40.0;153.0;0.9921;3.38;0.51;11.4;7;0;1
6.3;0.28;0.22;9.5;0.04;30.0;111.0;0.9933799999999999;3.05;0.31;10.8;4;0;1
8.6;0.33;0.4;2.6;0.083;16.0;68.0;0.99782;3.3;0.48;9.4;5;1;0
7.8;0.3;0.37;1.3;0.051;16.0;96.0;0.9941;3.32;0.62;10.0;5;0;1
8.6;0.18;0.36;1.8;0.04;24.0;187.0;0.9956;3.25;0.55;9.5;6;0;1
7.4;0.49;0.24;15.1;0.03;34.0;153.0;0.9953;3.13;0.51;12.0;7;0;1
6.1;0.28;0.25;17.75;0.044000000000000004;48.0;161.0;0.9993;3.34;0.48;9.5;5;0;1
12.5;0.56;0.49;2.4;0.064;5.0;27.0;0.9999;3.08;0.87;10.9;5;1;0
6.1;0.22;0.31;1.4;0.039;40.0;129.0;0.99193;3.45;0.59;10.9;5;0;1
9.5;0.46;0.24;2.7;0.092;14.0;44.0;0.998;3.12;0.74;10.0;6;1;0
